Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Writing & Translation,articles-blogposts,level 1,"5,500+ Results",$15,$90,$160,2 days,2 days,3 days,-1,-1,-1,4.9,40,Germany,May 2022,1 hour,2 days,"English, German, French, Italian",1 order in queue,False
Writing & Translation,articles-blogposts,level 1,"5,500+ Results",$10,$35,$80,1 day,2 days,4 days,-1,-1,-1,5.0,61,Pakistan,Sep 2023,1 hour,3 days,"English, Spanish, Arabic, Chinese",2 orders in queue,False
Writing & Translation,articles-blogposts,level 1,"5,500+ Results",$15,$35,$100,1 day,1 day,2 days,-1,-1,-1,5.0,5,Kenya,Aug 2021,1 hour,4 weeks,"English, Italian, French, Arabic",N/A,False
Writing & Translation,articles-blogposts,level 1,"5,500+ Results",$25,$500,$880,4 days,30 days,30 days,-1,-1,-1,4.9,311,Morocco,Sep 2016,3 hours,1 week,"English, Arabic, French, Spanish",N/A,False
Writing & Translation,articles-blogposts,level 1,"5,500+ Results",$25,$45,$65,2 days,3 days,5 days,Unlimited,Unlimited,Unlimited,4.9,248,Australia,Feb 2020,1 hour,2 days,"English, Chinese",2 orders in queue,False
Writing & Translation,articles-blogposts,level 1,"5,500+ Results",$10,$35,$55,1 day,2 days,2 days,3,3,4,5.0,32,Kenya,Jul 2023,1 hour,about 1 hour,English,4 orders in queue,False
Writing & Translation,articles-blogposts,level 1,"5,500+ Results",$5,$10,$30,2 days,3 days,5 days,-1,-1,-1,4.9,21,Pakistan,Oct 2023,1 hour,1 week,"English, Arabic",N/A,False
Writing & Translation,articles-blogposts,level 1,"5,500+ Results",$5,$15,$30,1 day,2 days,3 days,-1,-1,-1,4.9,107,France,Jan 2020,1 hour,2 days,"English, French, Spanish",2 orders in queue,False
Writing & Translation,articles-blogposts,level 1,"5,500+ Results",$200,$325,$450,3 days,3 days,4 days,1,1,2,5.0,2,United States,Sep 2022,5 hours,4 weeks,English,N/A,False
Writing & Translation,articles-blogposts,level 1,"5,500+ Results",$25,$90,$130,21 days,21 days,21 days,-1,-1,-1,5.0,16,United States,Jan 2024,1 hour,5 days,"Spanish, Arabic",2 orders in queue,False
Writing & Translation,articles-blogposts,level 1,"5,500+ Results",$10,$20,$50,1 day,2 days,3 days,-1,-1,-1,5.0,25,Pakistan,Oct 2017,1 hour,about 10 hours,"English, Urdu",5 orders in queue,False
Writing & Translation,articles-blogposts,level 1,"5,500+ Results",$10,$150,$300,2 days,14 days,30 days,-1,-1,-1,5.0,21,Pakistan,Feb 2023,1 hour,about 5 hours,"Urdu, English, Hindi, French",2 orders in queue,False
Writing & Translation,articles-blogposts,level 1,"5,500+ Results",$20,$65,$135,4 days,7 days,14 days,1,1,2,5.0,19,Vietnam,Mar 2020,6 hours,1 month,"English, Vietnamese",N/A,False
Writing & Translation,articles-blogposts,level 1,"5,500+ Results",$10,$20,$30,1 day,1 day,2 days,-1,-1,-1,4.9,13,Pakistan,Nov 2023,1 hour,2 weeks,English,1 order in queue,False
Writing & Translation,articles-blogposts,level 1,"5,500+ Results",$5,$50,$65,5 days,3 days,1 day,1,3,5,4.7,20,Romania,Jan 2023,1 hour,about 3 hours,"English, German, French",1 order in queue,False
Writing & Translation,articles-blogposts,level 1,"5,500+ Results",$10,$60,$120,1 day,2 days,3 days,-1,-1,-1,5.0,17,Kenya,Aug 2023,1 hour,2 days,"English, Dutch, German, Chinese",N/A,False
Writing & Translation,articles-blogposts,level 1,"5,500+ Results",$10,$50,$140,3 days,4 days,5 days,-1,-1,-1,4.9,181,Kenya,Sep 2019,1 hour,2 days,English,2 orders in queue,False
Writing & Translation,articles-blogposts,level 1,"5,500+ Results",$5,$10,$30,1 day,2 days,3 days,-1,-1,-1,4.8,15,Pakistan,May 2023,1 hour,about 12 hours,"Urdu, English",1 order in queue,False
Writing & Translation,articles-blogposts,level 1,"5,500+ Results",$5,$20,$60,1 day,2 days,3 days,-1,-1,-1,4.9,24,Kenya,Aug 2022,1 hour,about 3 hours,"English, Swahili",1 order in queue,False
Writing & Translation,articles-blogposts,level 1,"5,500+ Results",$5,$10,$30,2 days,3 days,5 days,-1,-1,-1,4.7,31,Pakistan,Oct 2022,1 hour,4 days,"Urdu, English",3 orders in queue,False
Writing & Translation,articles-blogposts,level 1,"5,500+ Results",$10,$35,$65,2 days,3 days,5 days,-1,-1,-1,5.0,28,Pakistan,Mar 2021,1 hour,5 days,"Urdu, English",N/A,False
Writing & Translation,articles-blogposts,level 1,"5,500+ Results",$15,$25,$35,2 days,3 days,3 days,3,3,3,5.0,44,Australia,Jun 2022,3 hours,1 week,English,1 order in queue,False
Writing & Translation,articles-blogposts,level 1,"5,500+ Results",$10,$20,$30,1 day,1 day,2 days,3,5,5,4.9,29,Pakistan,Feb 2021,1 hour,3 days,"Urdu, English, Punjabi",2 orders in queue,False
Writing & Translation,articles-blogposts,level 1,"5,500+ Results",$5,$15,$25,1 day,2 days,3 days,5,5,5,4.9,115,Pakistan,May 2023,1 hour,about 3 hours,"Urdu, English",3 orders in queue,False
Writing & Translation,articles-blogposts,level 1,"5,500+ Results",$5,$30,$45,2 days,4 days,5 days,-1,-1,-1,5.0,159,Brazil,Sep 2013,1 hour,1 day,"English, Portuguese",1 order in queue,False
Writing & Translation,articles-blogposts,level 1,"5,500+ Results",$15,$25,$55,1 day,2 days,4 days,3,5,7,4.9,35,Algeria,Nov 2021,2 hours,1 month,"English, French, Italian",1 order in queue,False
Writing & Translation,articles-blogposts,level 1,"5,500+ Results",$5,$10,$15,2 days,3 days,4 days,1,3,Unlimited,5.0,23,Pakistan,Jul 2022,1 hour,3 days,"English, Urdu, Spanish",N/A,False
Writing & Translation,articles-blogposts,level 1,"5,500+ Results",$20,$100,$200,2 days,5 days,7 days,Unlimited,Unlimited,Unlimited,4.8,30,Morocco,Mar 2018,1 hour,1 month,"English, Arabic, French",N/A,False
Writing & Translation,articles-blogposts,level 1,"5,500+ Results",$35,$70,$120,2 days,3 days,4 days,-1,-1,-1,5.0,70,United States,Feb 2023,4 hours,1 day,English,N/A,False
Writing & Translation,articles-blogposts,level 1,"5,500+ Results",$15,$160,$220,1 day,14 days,21 days,-1,-1,-1,4.9,846,Pakistan,Jan 2017,1 hour,about 12 hours,English,2 orders in queue,False
Writing & Translation,articles-blogposts,level 1,"5,500+ Results",$5,$10,$30,2 days,3 days,5 days,-1,-1,-1,4.8,48,Pakistan,Oct 2022,1 hour,4 days,"Urdu, English",1 order in queue,False
Writing & Translation,articles-blogposts,level 1,"5,500+ Results",$10,$20,$40,2 days,3 days,5 days,-1,-1,-1,4.9,602,Pakistan,Sep 2017,1 hour,2 days,"Urdu, English",6 orders in queue,False
Writing & Translation,articles-blogposts,level 1,"5,500+ Results",$40,$80,$160,2 days,3 days,4 days,1,1,1,5.0,63,Germany,Jan 2021,3 hours,2 days,"English, German",N/A,False
Writing & Translation,articles-blogposts,level 1,"5,500+ Results",$10,$65,$100,2 days,3 days,5 days,-1,-1,-1,5.0,69,Germany,Jun 2022,6 hours,2 days,"English, German",1 order in queue,False
Writing & Translation,articles-blogposts,level 1,"5,500+ Results",$10,$20,$25,2 days,4 days,6 days,0,1,1,4.9,34,Pakistan,Sep 2020,1 hour,about 22 hours,"English, Urdu",3 orders in queue,False
Writing & Translation,articles-blogposts,level 1,"5,500+ Results",$170,$240,$450,21 days,21 days,30 days,-1,-1,-1,4.9,862,Pakistan,Jan 2017,1 hour,about 12 hours,English,9 orders in queue,False
Writing & Translation,articles-blogposts,level 1,"5,500+ Results",$10,$15,$25,2 days,3 days,4 days,-1,-1,-1,5.0,218,Italy,Dec 2018,1 hour,5 days,"English, Italian, French, Spanish",2 orders in queue,False
Writing & Translation,articles-blogposts,level 1,"5,500+ Results",$5,$10,$15,2 days,3 days,3 days,-1,-1,-1,4.9,"1,766",Indonesia,Nov 2012,1 hour,1 day,"English, Indonesian",N/A,False
Writing & Translation,articles-blogposts,level 1,"5,500+ Results",$5,$10,$15,1 day,2 days,3 days,Unlimited,Unlimited,Unlimited,5.0,49,Pakistan,Nov 2019,1 hour,4 days,English,N/A,False
Writing & Translation,articles-blogposts,level 1,"5,500+ Results",€145.07,"€1,935","€2,418",21 days,30 days,30 days,-1,-1,-1,5.0,2,Pakistan,Jan 2020,1 hour,1 week,"English, Urdu",N/A,False
Writing & Translation,articles-blogposts,level 1,"5,500+ Results",$5,$65,$100,3 days,5 days,7 days,-1,-1,-1,5.0,10,Kenya,Feb 2024,1 hour,1 week,English,1 order in queue,False
Writing & Translation,articles-blogposts,level 1,"5,500+ Results",$15,$30,$45,2 days,3 days,4 days,2,3,Unlimited,5.0,401,Australia,Jun 2020,1 hour,1 day,English,1 order in queue,False
Writing & Translation,articles-blogposts,level 1,"5,500+ Results",$5,$10,$100,1 day,1 day,5 days,Unlimited,Unlimited,Unlimited,5.0,99,Bangladesh,Oct 2022,1 hour,1 day,English,3 orders in queue,False
Writing & Translation,articles-blogposts,level 1,"5,500+ Results",$15,$25,$30,2 days,2 days,2 days,2,2,2,4.9,22,Finland,Jul 2016,1 hour,2 weeks,"English, Finnish, Swedish",N/A,False
Writing & Translation,articles-blogposts,level 1,"5,500+ Results",$10,$20,$30,1 day,2 days,2 days,-1,-1,-1,4.9,32,Pakistan,Aug 2020,1 hour,5 days,"English, Spanish, French",N/A,False
Writing & Translation,articles-blogposts,level 1,"5,500+ Results",$10,$20,$50,2 days,2 days,5 days,-1,-1,-1,5.0,42,Pakistan,Feb 2018,1 hour,1 day,English,N/A,False
Writing & Translation,articles-blogposts,level 1,"5,500+ Results",$15,$15,$15,3-day delivery,3-day delivery,3-day delivery,1 Revision,1 Revision,1 Revision,4.8,19,Sudan,Nov 2021,1 hour,1 day,"English, Arabic",1 order in queue,True
Writing & Translation,articles-blogposts,level 1,"5,500+ Results",$30,$50,$70,3 days,4 days,5 days,-1,-1,-1,5.0,5,Pakistan,Nov 2021,2 hours,1 month,"Urdu, English, Punjabi, Hindi",N/A,False
