Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Writing & Translation,quality-translation-services,new seller,"26,000+ Results",$10,$40,$60,1 day,3 days,6 days,Unlimited,Unlimited,Unlimited,5.0,9,Algeria,N/A,N/A,N/A,"I speak English, Arabic, Spanish, French",N/A,False
Writing & Translation,quality-translation-services,new seller,"26,000+ Results",$15,$15,$15,2-day delivery,2-day delivery,2-day delivery,1 Revision,1 Revision,1 Revision,5.0,191,Mexico,N/A,N/A,N/A,"I speak English, Spanish, French",N/A,True
Writing & Translation,quality-translation-services,new seller,"26,000+ Results",$5,$10,$40,1 day,1 day,3 days,3,3,5,5.0,27,Pakistan,N/A,N/A,N/A,"I speak French, German, Portuguese, English",N/A,False
Writing & Translation,quality-translation-services,new seller,"26,000+ Results",$5,$10,$20,1 day,2 days,3 days,0,0,1,5.0,50,United Kingdom,N/A,N/A,N/A,"I speak English, Welsh",N/A,False
Writing & Translation,quality-translation-services,new seller,"26,000+ Results",$100,$120,$180,2 days,2 days,2 days,1,1,1,5.0,2,China,N/A,N/A,N/A,"I speak English, Chinese",N/A,False
Writing & Translation,quality-translation-services,new seller,"26,000+ Results",$10,$40,$100,1 day,1 day,3 days,Unlimited,Unlimited,Unlimited,4.9,411,Mexico,N/A,N/A,N/A,"I speak English, Spanish",N/A,False
Writing & Translation,quality-translation-services,new seller,"26,000+ Results",$5,$25,$50,2 days,2 days,2 days,1,1,1,4.9,112,Netherlands,N/A,N/A,N/A,"I speak English, Chinese",N/A,False
Writing & Translation,quality-translation-services,new seller,"26,000+ Results",$5,$10,$30,1 day,2 days,3 days,3,3,3,4.9,16,Canada,N/A,N/A,N/A,"I speak English, Japanese",N/A,False
Writing & Translation,quality-translation-services,new seller,"26,000+ Results",$10,$40,$50,1 day,1 day,2 days,Unlimited,Unlimited,Unlimited,5.0,17,Pakistan,N/A,N/A,N/A,I speak English,N/A,False
Writing & Translation,quality-translation-services,new seller,"26,000+ Results",$15,$30,$35,1 day,1 day,1 day,3,3,3,4.8,140,Azerbaijan,N/A,N/A,N/A,"I speak English, Arabic, Turkish, Russian",N/A,False
Writing & Translation,quality-translation-services,new seller,"26,000+ Results",$10,$15,$60,4 days,5 days,7 days,-1,-1,-1,5.0,194,Denmark,N/A,N/A,N/A,"I speak English, Danish",N/A,False
Writing & Translation,quality-translation-services,new seller,"26,000+ Results",$5,$10,$15,2 days,2 days,2 days,2,2,2,5.0,26,South Korea,N/A,N/A,N/A,"I speak English, Korean, Chinese, Japanese",N/A,False
Writing & Translation,quality-translation-services,new seller,"26,000+ Results",$5,$10,$15,2 days,2 days,2 days,Unlimited,Unlimited,Unlimited,5.0,88,Ukraine,N/A,N/A,N/A,"I speak English, Russian, Ukrainian",N/A,False
