Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Music & Audio,producers,level 1,"2,400+ Results",$150,$200,$300,5 days,5 days,7 days,0,1,2,4.9,6,United Kingdom,Jan 2022,1 hour,3 weeks,English,N/A,False
Music & Audio,producers,level 1,"2,400+ Results",€193.43,€435.22,€531.93,7 days,7 days,7 days,8,8,8,5.0,36,United Kingdom,Apr 2019,6 hours,2 weeks,English,N/A,False
Music & Audio,producers,level 1,"2,400+ Results",$130,$180,$250,2 days,3 days,4 days,1,1,2,5.0,23,Spain,Aug 2020,9 hours,2 weeks,"English, Spanish",N/A,False
Music & Audio,producers,level 1,"2,400+ Results",$20,$40,$60,1 day,2 days,3 days,Unlimited,Unlimited,Unlimited,5.0,21,Turkey,Dec 2020,1 hour,about 17 hours,"English, Turkish, Japanese, German",N/A,False
Music & Audio,producers,level 1,"2,400+ Results",$210,$275,$325,14 days,14 days,14 days,1,2,2,5.0,199,United Kingdom,Jun 2017,1 hour,5 days,"English, Italian",9 orders in queue,False
Music & Audio,producers,level 1,"2,400+ Results",$15,$65,$115,3 days,14 days,30 days,0,1,3,5.0,62,Indonesia,Sep 2021,3 hours,3 days,"English, Indonesian, Malay",3 orders in queue,False
Music & Audio,producers,level 1,"2,400+ Results",$15,$70,$90,10 days,10 days,10 days,0,1,2,4.9,95,Indonesia,Mar 2022,4 hours,about 14 hours,"English, Indonesian",1 order in queue,False
Music & Audio,producers,level 1,"2,400+ Results",$15,$30,$60,3 days,4 days,5 days,2,3,5,5.0,44,Spain,Aug 2022,8 hours,2 days,"English, Spanish, Catalan",N/A,False
Music & Audio,producers,level 1,"2,400+ Results",$200,$200,$200,30-day delivery,30-day delivery,30-day delivery,5 Revisions,5 Revisions,5 Revisions,5.0,3,United Kingdom,Sep 2022,2 hours,3 days,English,N/A,True
Music & Audio,producers,level 1,"2,400+ Results",$20,$20,$20,3-day delivery,3-day delivery,3-day delivery,1 Revision,1 Revision,1 Revision,4.8,319,China,Dec 2016,5 hours,1 day,"English, Chinese, Hungarian",2 orders in queue,True
Music & Audio,producers,level 1,"2,400+ Results",$20,$20,$20,3-day delivery,3-day delivery,3-day delivery,Unlimited Revisions,Unlimited Revisions,Unlimited Revisions,4.8,25,Pakistan,Nov 2022,2 hours,about 11 minutes,"Urdu, English, Punjabi, Spanish",5 orders in queue,True
Music & Audio,producers,level 1,"2,400+ Results",€24.18,€38.69,€48.36,4 days,5 days,7 days,1,3,Unlimited,5.0,30,Mexico,Nov 2022,1 hour,about 18 hours,"English, Spanish",10 orders in queue,False
Music & Audio,producers,level 1,"2,400+ Results",$125,$200,$250,1 day,3 days,4 days,Unlimited,Unlimited,Unlimited,5.0,4,Turkey,Dec 2021,1 hour,about 18 hours,"English, Turkish",N/A,False
Music & Audio,producers,level 1,"2,400+ Results",$100,$180,$250,3 days,7 days,7 days,1,2,Unlimited,4.8,24,Israel,Nov 2020,8 hours,1 month,"English, Hebrew",N/A,False
Music & Audio,producers,level 1,"2,400+ Results",$100,$180,$250,2 days,3 days,3 days,1,2,1,4.9,15,Nigeria,Jun 2021,1 hour,2 days,"English, Spanish, French, German",1 order in queue,False
