Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Writing & Translation,articles-blogposts,top rated seller,449 Results,$75,$150,$300,2 days,3 days,4 days,-1,-1,-1,5.0,4,United States,Jan 2019,1 hour,about 8 hours,English,N/A,False
Writing & Translation,articles-blogposts,top rated seller,449 Results,$100,$185,$250,5 days,5 days,6 days,-1,-1,-1,5.0,61,Canada,Oct 2021,2 hours,3 days,"English, Spanish, French, Russian",N/A,False
Writing & Translation,articles-blogposts,top rated seller,449 Results,$30,$55,$100,5 days,6 days,7 days,-1,-1,-1,4.9,15,Pakistan,Oct 2019,1 hour,1 day,"Urdu, English",N/A,False
Writing & Translation,articles-blogposts,top rated seller,449 Results,$100,$200,$400,1 day,2 days,5 days,-1,-1,-1,5.0,57,South Africa,Jun 2021,1 hour,2 weeks,English,N/A,False
Writing & Translation,articles-blogposts,top rated seller,449 Results,$20,$35,$55,3 days,4 days,5 days,-1,-1,-1,5.0,774,Pakistan,Nov 2018,1 hour,about 47 minutes,English,16 orders in queue,False
Writing & Translation,articles-blogposts,top rated seller,449 Results,$15,$45,$60,3 days,4 days,4 days,1,1,1,5.0,647,United Kingdom,Sep 2012,4 hours,5 days,English,1 order in queue,False
Writing & Translation,articles-blogposts,top rated seller,449 Results,$15,$30,$80,3 days,4 days,6 days,-1,-1,-1,5.0,"1,045",Algeria,Aug 2019,1 hour,3 days,"English, French",1 order in queue,False
Writing & Translation,articles-blogposts,top rated seller,449 Results,$50,$75,$105,7 days,7 days,7 days,-1,-1,-1,4.9,79,United States,Apr 2021,3 hours,1 day,English,2 orders in queue,False
Writing & Translation,articles-blogposts,top rated seller,449 Results,$100,$185,$265,3 days,3 days,4 days,-1,-1,-1,4.9,45,United Kingdom,Mar 2020,1 hour,1 day,English,3 orders in queue,False
Writing & Translation,articles-blogposts,top rated seller,449 Results,$35,$60,$90,5 days,7 days,7 days,-1,-1,-1,5.0,199,Spain,Dec 2019,1 hour,about 2 hours,"English, Dutch, German, Spanish",8 orders in queue,False
Writing & Translation,articles-blogposts,top rated seller,449 Results,$50,$100,$200,3 days,5 days,10 days,-1,-1,-1,5.0,"1,040",United States,Jan 2019,6 hours,1 day,English,8 orders in queue,False
Writing & Translation,articles-blogposts,top rated seller,449 Results,€48.36,€91.88,€140.24,7 days,7 days,7 days,-1,-1,-1,5.0,499,United Kingdom,Apr 2021,10 hours,about 11 hours,English,6 orders in queue,False
Writing & Translation,articles-blogposts,top rated seller,449 Results,$50,$75,$105,7 days,7 days,7 days,-1,-1,-1,4.9,79,United States,Apr 2021,3 hours,1 day,English,2 orders in queue,False
Writing & Translation,articles-blogposts,top rated seller,449 Results,$75,$100,$195,7 days,10 days,14 days,-1,-1,-1,5.0,128,United States,Mar 2021,2 hours,1 day,English,N/A,False
Writing & Translation,articles-blogposts,top rated seller,449 Results,$100,$140,$180,3 days,3 days,3 days,-1,-1,-1,5.0,12,United States,Jun 2021,3 hours,1 day,English,N/A,False
Writing & Translation,articles-blogposts,top rated seller,449 Results,$35,$70,$105,2 days,3 days,4 days,-1,-1,-1,5.0,452,Egypt,Mar 2018,1 hour,about 2 hours,"English, German",N/A,False
Writing & Translation,articles-blogposts,top rated seller,449 Results,$65,$120,$175,4 days,5 days,7 days,-1,-1,-1,4.9,300,United Kingdom,Jan 2021,4 hours,about 10 hours,English,4 orders in queue,False
