Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Writing & Translation,quality-translation-services,level 1,"2,600+ Results",$5,$35,$100,1 day,2 days,4 days,2,Unlimited,Unlimited,5.0,99,Italy,N/A,N/A,N/A,"I speak English, Spanish, Italian",N/A,False
Writing & Translation,quality-translation-services,level 1,"2,600+ Results",$5,$10,$20,1 day,2 days,4 days,Unlimited,Unlimited,Unlimited,4.9,25,France,N/A,N/A,N/A,"I speak English, French",N/A,False
Writing & Translation,quality-translation-services,level 1,"2,600+ Results",$5,$50,$100,1 day,2 days,3 days,2,3,4,4.6,21,Cameroon,N/A,N/A,N/A,"I speak English, French, Hebrew",N/A,False
Writing & Translation,quality-translation-services,level 1,"2,600+ Results",$5,$10,$15,1 day,1 day,1 day,1,1,1,4.9,311,China,N/A,N/A,N/A,"I speak English, Chinese, French",N/A,False
Writing & Translation,quality-translation-services,level 1,"2,600+ Results",$5,$20,$100,2 days,5 days,10 days,0,0,1,5.0,"1,022",Thailand,N/A,N/A,N/A,"I speak English, Thai, Korean",N/A,False
Writing & Translation,quality-translation-services,level 1,"2,600+ Results",$5,$10,$15,2 days,3 days,5 days,2,2,2,5.0,68,Finland,N/A,N/A,N/A,"I speak English, Finnish, Swedish, Spanish",N/A,False
Writing & Translation,quality-translation-services,level 1,"2,600+ Results",$5,$20,$50,3 days,5 days,7 days,1,1,1,5.0,925,Romania,N/A,N/A,N/A,"I speak English, Romanian",N/A,False
Writing & Translation,quality-translation-services,level 1,"2,600+ Results",$5,$10,$20,2 days,2 days,3 days,1,1,1,5.0,791,Croatia,N/A,N/A,N/A,"I speak English, Dutch",N/A,False
Writing & Translation,quality-translation-services,level 1,"2,600+ Results",$200,$400,$600,1 day,2 days,3 days,2,2,2,5.0,35,United Kingdom,N/A,N/A,N/A,"I speak English, Spanish",N/A,False
Writing & Translation,quality-translation-services,level 1,"2,600+ Results",$5,$25,$60,2 days,4 days,10 days,1,1,2,5.0,48,Greece,N/A,N/A,N/A,"I speak English, Greek, French, Spanish",N/A,False
