Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Lifestyle,modeling-acting,level 1,550 Results,₪960.28,"₪1,153","₪1,345",3 days,5 days,7 days,-1,-1,-1,5.0,107,United States,Dec 2021,1 hour,1 day,"English, Spanish",2 orders in queue,False
Lifestyle,modeling-acting,level 1,550 Results,₪134.44,₪384.11,₪883.46,7 days,7 days,7 days,-1,-1,-1,5.0,20,United States,Jun 2020,11 hours,2 weeks,"Russian, Ukrainian, English",1 order in queue,False
Lifestyle,modeling-acting,level 1,550 Results,$40,$60,$80,3 days,3 days,3 days,-1,-1,-1,4.9,174,United States,Apr 2022,3 hours,1 day,English,2 orders in queue,False
Lifestyle,modeling-acting,level 1,550 Results,$85,$100,$135,2 days,3 days,3 days,-1,-1,-1,5.0,3,Germany,Feb 2021,5 hours,about 9 hours,"English, Spanish, German",N/A,False
Lifestyle,modeling-acting,level 1,550 Results,$15,$20,$25,7 days,7 days,7 days,-1,-1,-1,4.9,15,Indonesia,Jan 2023,8 hours,about 4 hours,"English, Indonesian",N/A,False
Lifestyle,modeling-acting,level 1,550 Results,$10,$10,$10,1-day delivery,1-day delivery,1-day delivery,-1,-1,-1,4.9,23,Pakistan,Nov 2023,1 hour,about 11 hours,"English, Spanish, German, Chinese",1 order in queue,True
Lifestyle,modeling-acting,level 1,550 Results,$10,$25,$50,2 days,2 days,3 days,-1,-1,-1,5.0,45,Ukraine,Jul 2023,6 hours,2 days,"Ukrainian, Russian, English",1 order in queue,False
Lifestyle,modeling-acting,level 1,550 Results,$10,$10,$10,1-day delivery,1-day delivery,1-day delivery,-1,-1,-1,4.8,28,Ukraine,Aug 2023,2 hours,1 day,"Ukrainian, Russian, English",1 order in queue,True
Lifestyle,modeling-acting,level 1,550 Results,$25,$70,$100,7 days,7 days,7 days,-1,-1,-1,5.0,37,Lithuania,Jul 2022,5 hours,2 days,"Russian, English",N/A,False
Lifestyle,modeling-acting,level 1,550 Results,$50,$60,$75,3 days,4 days,5 days,-1,-1,-1,4.8,13,United Kingdom,Oct 2023,9 hours,1 week,English,1 order in queue,False
