Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Digital Marketing,influencer-marketing,top rated seller,17,€870.13,"€1,555","€2,239",21 days,30 days,30 days,-1,-1,-1,5.0,1,Germany,May 2023,1 hour,3 weeks,"English, German",N/A,False
Digital Marketing,influencer-marketing,top rated seller,17,$250Save up to 10% with Subscribe to Save,$250Save up to 10% with Subscribe to Save,$250Save up to 10% with Subscribe to Save,14-day delivery,14-day delivery,14-day delivery,-1,-1,-1,5.0,2,Australia,May 2022,2 hours,1 day,English,4 orders in queue,True
Digital Marketing,influencer-marketing,top rated seller,17,$30,$65,$100,2 days,2 days,2 days,-1,-1,-1,4.8,292,Venezuela,Aug 2016,1 hour,1 day,"English, Spanish, Italian",1 order in queue,False
Digital Marketing,influencer-marketing,top rated seller,17,$30,$50,$60,2 days,2 days,2 days,1,1,1,4.8,3,Ukraine,Feb 2020,1 hour,3 days,"English, Ukrainian, Russian",N/A,False
Digital Marketing,influencer-marketing,top rated seller,17,$30,$50,$60,2 days,2 days,2 days,1,1,1,4.8,3,Ukraine,Feb 2020,1 hour,3 days,"English, Ukrainian, Russian",N/A,False
Digital Marketing,influencer-marketing,top rated seller,17,$80,$100,$250,1 day,1 day,1 day,-1,-1,-1,3.7,12,United Kingdom,Sep 2017,2 hours,1 day,English,N/A,False
Digital Marketing,influencer-marketing,top rated seller,17,$200,$350,$600,3 days,5 days,10 days,-1,-1,-1,5.0,5,Portugal,May 2016,1 hour,2 weeks,"English, Portuguese, French, Russian",N/A,False
Digital Marketing,influencer-marketing,top rated seller,17,$890,"$1,590","$2,290",21 days,30 days,30 days,-1,-1,-1,5.0,1,Germany,May 2023,1 hour,3 weeks,"English, German",N/A,False
Digital Marketing,influencer-marketing,top rated seller,17,$245,$495,$735,10 days,14 days,21 days,-1,-1,-1,5.0,2,United Arab Emirates,Jul 2019,5 hours,1 day,English,N/A,False
Digital Marketing,influencer-marketing,top rated seller,17,$60,$250,$500,3 days,7 days,7 days,-1,-1,-1,5.0,68,United Kingdom,Sep 2017,2 hours,1 day,English,1 order in queue,False
Digital Marketing,influencer-marketing,top rated seller,17,$30,$40,$70,3 days,3 days,4 days,-1,-1,-1,4.9,"1,123",Hong Kong,Aug 2016,4 hours,1 day,"English, Chinese",3 orders in queue,False
Digital Marketing,influencer-marketing,top rated seller,17,$145,$285,$435,10 days,14 days,21 days,-1,-1,-1,4.9,"1,059",United Arab Emirates,Jul 2019,5 hours,1 day,English,N/A,False
Digital Marketing,influencer-marketing,top rated seller,17,$10,$20,$40,1 day,1 day,1 day,-1,-1,-1,5.0,2,Namibia,Sep 2020,1 hour,6 days,"English, Spanish",N/A,False
Digital Marketing,influencer-marketing,top rated seller,17,$50,$50,$50,1-day delivery,1-day delivery,1-day delivery,-1,-1,-1,4.9,901,United States,Jan 2019,1 hour,1 day,English,N/A,True
Digital Marketing,influencer-marketing,top rated seller,17,$25,$35,$65,3 days,4 days,4 days,-1,-1,-1,4.9,41,Hong Kong,Aug 2016,4 hours,1 day,"English, Chinese",1 order in queue,False
Digital Marketing,influencer-marketing,top rated seller,17,$100,$125,$250,7 days,7 days,7 days,-1,-1,-1,4.9,137,United States,Sep 2015,2 hours,1 week,"English, Spanish",N/A,False
Digital Marketing,influencer-marketing,top rated seller,17,$245,$495,$745,10 days,14 days,21 days,-1,-1,-1,5.0,7,United Arab Emirates,Jul 2019,5 hours,1 day,English,N/A,False
Digital Marketing,influencer-marketing,top rated seller,17,$10,$45,$60,3 days,3 days,3 days,-1,-1,-1,5.0,"5,202",United States,Nov 2013,1 hour,about 22 hours,English,5 orders in queue,False
Digital Marketing,influencer-marketing,top rated seller,17,$30,$40,$70,3 days,3 days,4 days,-1,-1,-1,4.9,"1,123",Hong Kong,Aug 2016,4 hours,1 day,"English, Chinese",3 orders in queue,False
Digital Marketing,influencer-marketing,top rated seller,17,$100,$125,$250,7 days,7 days,7 days,-1,-1,-1,4.9,137,United States,Sep 2015,2 hours,1 week,"English, Spanish",N/A,False
Digital Marketing,influencer-marketing,top rated seller,17,$25,$35,$65,3 days,4 days,4 days,-1,-1,-1,4.9,41,Hong Kong,Aug 2016,4 hours,1 day,"English, Chinese",1 order in queue,False
