Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Writing & Translation,ux-writing,level 1,27,$25,$40,$50,2 days,3 days,4 days,Unlimited,Unlimited,Unlimited,4.9,46,Pakistan,N/A,N/A,N/A,I speak English,N/A,False
Writing & Translation,ux-writing,level 1,27,$25,$45,$65,6 days,7 days,7 days,1,1,2,5.0,2,Romania,N/A,N/A,N/A,"I speak English, Romanian",N/A,False
Writing & Translation,ux-writing,level 1,27,$40,$65,$110,5 days,5 days,6 days,1,2,3,5.0,5,Romania,N/A,N/A,N/A,"I speak English, Romanian",N/A,False
Writing & Translation,ux-writing,level 1,27,$5,$5,$5,2-day delivery,2-day delivery,2-day delivery,Unlimited Revisions,Unlimited Revisions,Unlimited Revisions,5.0,2,Spain,N/A,N/A,N/A,"I speak English, Spanish, Catalan",N/A,True
Writing & Translation,ux-writing,level 1,27,$35,$50,$75,3 days,4 days,6 days,5,Unlimited,Unlimited,N/A,N/A,Pakistan,N/A,N/A,N/A,"I speak Urdu, English",N/A,False
Writing & Translation,ux-writing,level 1,27,$50,$100,$200,2 days,2 days,2 days,-1,-1,-1,N/A,N/A,Pakistan,N/A,N/A,N/A,I speak English,N/A,False
Writing & Translation,ux-writing,level 1,27,$10,$20,$30,1 day,2 days,3 days,-1,-1,-1,4.0,7,Pakistan,N/A,N/A,N/A,I speak English,N/A,False
Writing & Translation,ux-writing,level 1,27,$60,$120,$420,2 days,3 days,5 days,2,2,3,4.8,11,Israel,N/A,N/A,N/A,"I speak English, Hebrew",N/A,False
Writing & Translation,ux-writing,level 1,27,$20,$50,$80,1 day,3 days,5 days,1,1,1,5.0,2,India,N/A,N/A,N/A,I speak English,N/A,False
Writing & Translation,ux-writing,level 1,27,$30Save up to 10% with Subscribe to Save,$30Save up to 10% with Subscribe to Save,$30Save up to 10% with Subscribe to Save,7-day delivery,7-day delivery,7-day delivery,3 Revisions,3 Revisions,3 Revisions,5.0,1,Belarus,N/A,N/A,N/A,"I speak English, Russian, Belarusian",N/A,True
Writing & Translation,ux-writing,level 1,27,$10,$15,$20,2 days,3 days,3 days,3,4,6,N/A,N/A,India,N/A,N/A,N/A,"I speak Hindi, English",N/A,False
Writing & Translation,ux-writing,level 1,27,$30Save up to 10% with Subscribe to Save,$30Save up to 10% with Subscribe to Save,$30Save up to 10% with Subscribe to Save,7-day delivery,7-day delivery,7-day delivery,3 Revisions,3 Revisions,3 Revisions,5.0,1,Belarus,N/A,N/A,N/A,"I speak English, Russian, Belarusian",N/A,True
Writing & Translation,ux-writing,level 1,27,$25,$25,$25,2-day delivery,2-day delivery,2-day delivery,2 Revisions,2 Revisions,2 Revisions,N/A,N/A,United Kingdom,N/A,N/A,N/A,I speak English,N/A,True
Writing & Translation,ux-writing,level 1,27,$80,$150,$500,7 days,14 days,21 days,Unlimited,Unlimited,Unlimited,N/A,N/A,Pakistan,N/A,N/A,N/A,I speak English,N/A,False
Writing & Translation,ux-writing,level 1,27,$10,$25,$40,1 day,2 days,3 days,5,7,Unlimited,5.0,1,Pakistan,N/A,N/A,N/A,I speak English,N/A,False
Writing & Translation,ux-writing,level 1,27,$5,$5,$5,1-day delivery,1-day delivery,1-day delivery,Unlimited Revisions,Unlimited Revisions,Unlimited Revisions,N/A,N/A,Bangladesh,N/A,N/A,N/A,"I speak English, Arabic, Hindi, German",N/A,True
Writing & Translation,ux-writing,level 1,27,US$45,US$45,US$45,3-day delivery,3-day delivery,3-day delivery,3 Revisions,3 Revisions,3 Revisions,N/A,N/A,Pakistan,N/A,N/A,N/A,"I speak Urdu, English",N/A,True
Writing & Translation,ux-writing,level 1,27,$50,$100,$150,3 days,3 days,2 days,0,1,2,N/A,N/A,Pakistan,N/A,N/A,N/A,I speak English,N/A,False
Writing & Translation,ux-writing,level 1,27,$55,$55,$55,5-day delivery,5-day delivery,5-day delivery,1 Revision,1 Revision,1 Revision,4.7,1,Israel,N/A,N/A,N/A,"I speak English, Hebrew",N/A,True
Writing & Translation,ux-writing,level 1,27,$20,$40,$80,1 day,3 days,6 days,2,2,2,N/A,N/A,Pakistan,N/A,N/A,N/A,I speak English,N/A,False
Writing & Translation,ux-writing,level 1,27,$10,$50,$100,3 days,7 days,10 days,2,2,2,N/A,N/A,Nigeria,N/A,N/A,N/A,I speak English,N/A,False
