Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Music & Audio,songwriters,new seller,"2,400+ Results",$150,$250,$400,5 days,7 days,10 days,0,1,2,5.0,37,Germany,Nov 2019,N/A,8 months,"English, German, Spanish, French",N/A,False
Music & Audio,songwriters,new seller,"2,400+ Results",$130,$200,$300,10 days,10 days,14 days,1,2,3,5.0,27,Brazil,Apr 2019,13 hours,about 8 hours,"English, Portuguese",N/A,False
Music & Audio,songwriters,new seller,"2,400+ Results",$10,$15,$25,2 days,3 days,4 days,2,2,3,5.0,13,Germany,Oct 2021,3 hours,5 days,German,N/A,False
Music & Audio,songwriters,new seller,"2,400+ Results",$15,$25,$45,2 days,2 days,4 days,1,2,3,4.9,108,Nigeria,Feb 2023,N/A,4 days,English,1 order in queue,False
Music & Audio,songwriters,new seller,"2,400+ Results",$180,$400,$690,5 days,6 days,10 days,2,2,2,5.0,29,United States,Jul 2019,12 days,5 days,"English, Serbian, Portuguese, Spanish",N/A,False
Music & Audio,songwriters,new seller,"2,400+ Results",$10,$25,$30,3 days,4 days,4 days,5,7,7,4.9,130,Spain,Apr 2020,12 hours,1 day,"English, Spanish",N/A,False
Music & Audio,songwriters,new seller,"2,400+ Results",$150,$260,$375,3 days,4 days,10 days,2,2,2,5.0,13,United States,Jul 2019,12 days,5 days,"English, Serbian, Portuguese, Spanish",N/A,False
Music & Audio,songwriters,new seller,"2,400+ Results",$390,$490,$590,14 days,14 days,14 days,1,2,3,5.0,91,South Korea,Jan 2021,11 hours,1 month,"English, Italian, Korean, Spanish",4 orders in queue,False
Music & Audio,songwriters,new seller,"2,400+ Results",$120,$190,$415,1 day,2 days,2 days,1,3,Unlimited,4.9,501,Poland,Jan 2019,1 hour,2 months,"English, Polish",N/A,False
Music & Audio,songwriters,new seller,"2,400+ Results",$70,$180,$300,6 days,6 days,6 days,2,2,2,5.0,221,India,May 2016,1 hour,3 months,"English, Hindi, Marathi, Gujarati",N/A,False
Music & Audio,songwriters,new seller,"2,400+ Results",$40,$60,$85,3 days,4 days,5 days,2,2,2,5.0,47,United States,Sep 2020,1 hour,4 weeks,English,N/A,False
Music & Audio,songwriters,new seller,"2,400+ Results",$30,$120,$200,1 day,3 days,4 days,2,2,0,4.9,41,United Kingdom,Aug 2019,1 hour,1 day,English,1 order in queue,False
Music & Audio,songwriters,new seller,"2,400+ Results",$45,$60,$85,2 days,3 days,4 days,0,1,Unlimited,4.9,34,United States,Aug 2019,19 hours,about 16 hours,"English, French, Russian, German",N/A,False
Music & Audio,songwriters,new seller,"2,400+ Results",$5,$10,$20,1 day,3 days,5 days,2,3,4,4.9,16,Indonesia,Sep 2023,1 hour,1 week,"English, Indonesian",1 order in queue,False
Music & Audio,songwriters,new seller,"2,400+ Results",$20,$35,$100,2 days,2 days,6 days,1,2,2,5.0,7,United States,Jul 2021,6 hours,2 weeks,English,1 order in queue,False
Music & Audio,songwriters,new seller,"2,400+ Results",$45,$55,$85,2 days,3 days,4 days,2,3,Unlimited,4.9,133,United States,Aug 2019,19 hours,about 16 hours,"English, French, Russian, German",N/A,False
Music & Audio,songwriters,new seller,"2,400+ Results",$10,$25,$50,2 days,3 days,4 days,1,2,3,5.0,9,Nigeria,Sep 2023,1 hour,3 days,English,1 order in queue,False
Music & Audio,songwriters,new seller,"2,400+ Results",$15,$40,$50,1 day,3 days,2 days,1,2,3,5.0,5,Malaysia,Feb 2024,1 hour,1 week,English,N/A,False
Music & Audio,songwriters,new seller,"2,400+ Results",$20,$25,$45,4 days,4 days,5 days,Unlimited,Unlimited,Unlimited,5.0,271,Venezuela,May 2020,N/A,1 week,"English, Spanish, French, Italian",1 order in queue,False
Music & Audio,songwriters,new seller,"2,400+ Results",$150,$250,$400,5 days,7 days,10 days,0,1,2,5.0,37,Germany,Nov 2019,N/A,8 months,"English, German, Spanish, French",N/A,False
