Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Writing & Translation,quality-translation-services,top rated seller,215 Results,$10Save up to 15% with Subscribe to Save,$10Save up to 15% with Subscribe to Save,$10Save up to 15% with Subscribe to Save,3-day delivery,3-day delivery,3-day delivery,Unlimited Revisions,Unlimited Revisions,Unlimited Revisions,5.0,"1,809",Mexico,N/A,N/A,N/A,"I speak English, Spanish, Portuguese",N/A,True
Writing & Translation,quality-translation-services,top rated seller,215 Results,$10,$100,$200,2 days,3 days,4 days,1,1,1,5.0,49,Germany,N/A,N/A,N/A,"I speak English, German",N/A,False
Writing & Translation,quality-translation-services,top rated seller,215 Results,$10,$15,$20,3 days,2 days,2 days,1,2,Unlimited,4.9,"1,897",Spain,N/A,N/A,N/A,"I speak English, Spanish",N/A,False
Writing & Translation,quality-translation-services,top rated seller,215 Results,$35,$70,$105,3 days,5 days,6 days,3,3,3,5.0,793,Germany,N/A,N/A,N/A,"I speak English, German",N/A,False
Writing & Translation,quality-translation-services,top rated seller,215 Results,$15,$60,$240,4 days,5 days,6 days,2,3,4,5.0,651,Iceland,N/A,N/A,N/A,"I speak English, French, German, Icelandic",N/A,False
Writing & Translation,quality-translation-services,top rated seller,215 Results,$10,$15,$20,3 days,2 days,2 days,1,2,Unlimited,4.9,"1,897",Spain,N/A,N/A,N/A,"I speak English, Spanish",N/A,False
Writing & Translation,quality-translation-services,top rated seller,215 Results,$5,$5,$5,2-day delivery,2-day delivery,2-day delivery,-1,-1,-1,5.0,"8,847",Italy,N/A,N/A,N/A,"I speak English, Italian, Spanish",N/A,True
Writing & Translation,quality-translation-services,top rated seller,215 Results,$10,$40,$60,2 days,4 days,5 days,1,1,1,5.0,909,United States,N/A,N/A,N/A,"I speak English, French",N/A,False
Writing & Translation,quality-translation-services,top rated seller,215 Results,$70,$100,$150,3 days,4 days,7 days,Unlimited,Unlimited,Unlimited,5.0,104,Spain,N/A,N/A,N/A,"I speak English, Spanish, French, Japanese",N/A,False
Writing & Translation,quality-translation-services,top rated seller,215 Results,$5,$15,$25,2 days,2 days,2 days,3,3,3,4.9,"4,676",China,N/A,N/A,N/A,"I speak English, Chinese",N/A,False
