Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Digital Marketing,seo-services,level 2,"7,900+ Results",$30Save up to 10% with Subscribe to Save,$30Save up to 10% with Subscribe to Save,$30Save up to 10% with Subscribe to Save,2-day delivery,2-day delivery,2-day delivery,-1,-1,-1,5.0,856,Ukraine,N/A,N/A,N/A,"I speak English, Ukrainian, German, Polish",N/A,True
Digital Marketing,seo-services,level 2,"7,900+ Results",$30Save up to 10% with Subscribe to Save,$30Save up to 10% with Subscribe to Save,$30Save up to 10% with Subscribe to Save,7-day delivery,7-day delivery,7-day delivery,-1,-1,-1,5.0,265,Pakistan,N/A,N/A,N/A,"I speak English, German, French, Thai",N/A,True
Digital Marketing,seo-services,level 2,"7,900+ Results",$80Save up to 20% with Subscribe to Save,$80Save up to 20% with Subscribe to Save,$80Save up to 20% with Subscribe to Save,1-day delivery,1-day delivery,1-day delivery,-1,-1,-1,5.0,30,Pakistan,N/A,N/A,N/A,"I speak English, German, Spanish, Russian",N/A,True
Digital Marketing,seo-services,level 2,"7,900+ Results",$80,$80,$80,2-day delivery,2-day delivery,2-day delivery,-1,-1,-1,4.9,402,India,N/A,N/A,N/A,"I speak Hindi, English",N/A,True
Digital Marketing,seo-services,level 2,"7,900+ Results",$50,$50,$50,7-day delivery,7-day delivery,7-day delivery,-1,-1,-1,5.0,48,United States,N/A,N/A,N/A,I speak English,N/A,True
Digital Marketing,seo-services,level 2,"7,900+ Results",$5,$5,$5,4-day delivery,4-day delivery,4-day delivery,-1,-1,-1,4.9,"3,577",Slovakia,N/A,N/A,N/A,"I speak English, German, Spanish, French",N/A,True
Digital Marketing,seo-services,level 2,"7,900+ Results",$5,$5,$5,2-day delivery,2-day delivery,2-day delivery,-1,-1,-1,4.9,153,Pakistan,N/A,N/A,N/A,I speak English,N/A,True
Digital Marketing,seo-services,level 2,"7,900+ Results",$20Save up to 15% with Subscribe to Save,$20Save up to 15% with Subscribe to Save,$20Save up to 15% with Subscribe to Save,4-day delivery,4-day delivery,4-day delivery,-1,-1,-1,4.9,"2,007",Pakistan,N/A,N/A,N/A,"I speak English, Urdu",N/A,True
Digital Marketing,seo-services,level 2,"7,900+ Results",$50,$50,$50,30-day delivery,30-day delivery,30-day delivery,-1,-1,-1,5.0,29,Pakistan,N/A,N/A,N/A,"I speak Hindi, Urdu, English",N/A,True
Digital Marketing,seo-services,level 2,"7,900+ Results",$50Save up to 20% with Subscribe to Save,$50Save up to 20% with Subscribe to Save,$50Save up to 20% with Subscribe to Save,7-day delivery,7-day delivery,7-day delivery,-1,-1,-1,4.9,392,Pakistan,N/A,N/A,N/A,"I speak English, Urdu",N/A,True
Digital Marketing,seo-services,level 2,"7,900+ Results",$50Save up to 10% with Subscribe to Save,$50Save up to 10% with Subscribe to Save,$50Save up to 10% with Subscribe to Save,7-day delivery,7-day delivery,7-day delivery,-1,-1,-1,5.0,67,Pakistan,N/A,N/A,N/A,"I speak Thai, English, Korean, Indonesian",N/A,True
Digital Marketing,seo-services,level 2,"7,900+ Results",$40,$40,$40,7-day delivery,7-day delivery,7-day delivery,-1,-1,-1,5.0,39,Pakistan,N/A,N/A,N/A,"I speak English, German",N/A,True
Digital Marketing,seo-services,level 2,"7,900+ Results",$125Save up to 10% with Subscribe to Save,$125Save up to 10% with Subscribe to Save,$125Save up to 10% with Subscribe to Save,14-day delivery,14-day delivery,14-day delivery,-1,-1,-1,4.9,514,United States,N/A,N/A,N/A,I speak English,N/A,True
Digital Marketing,seo-services,level 2,"7,900+ Results",$20Save up to 10% with Subscribe to Save,$20Save up to 10% with Subscribe to Save,$20Save up to 10% with Subscribe to Save,3-day delivery,3-day delivery,3-day delivery,-1,-1,-1,4.9,"1,534",Pakistan,N/A,N/A,N/A,"I speak English, Korean, Thai, Spanish",N/A,True
Digital Marketing,seo-services,level 2,"7,900+ Results",$5,$5,$5,2-day delivery,2-day delivery,2-day delivery,-1,-1,-1,5.0,174,Bangladesh,N/A,N/A,N/A,I speak English,N/A,True
Digital Marketing,seo-services,level 2,"7,900+ Results",$30Save up to 10% with Subscribe to Save,$30Save up to 10% with Subscribe to Save,$30Save up to 10% with Subscribe to Save,14-day delivery,14-day delivery,14-day delivery,-1,-1,-1,5.0,20,Pakistan,N/A,N/A,N/A,"I speak English, German, French, Thai",N/A,True
Digital Marketing,seo-services,level 2,"7,900+ Results",$5,$5,$5,2-day delivery,2-day delivery,2-day delivery,-1,-1,-1,5.0,178,Pakistan,N/A,N/A,N/A,"I speak English, Thai, Indonesian, Korean",N/A,True
Digital Marketing,seo-services,level 2,"7,900+ Results",$50Save up to 10% with Subscribe to Save,$50Save up to 10% with Subscribe to Save,$50Save up to 10% with Subscribe to Save,5-day delivery,5-day delivery,5-day delivery,-1,-1,-1,5.0,122,Pakistan,N/A,N/A,N/A,"I speak English, Dutch, Portuguese, Korean",N/A,True
Digital Marketing,seo-services,level 2,"7,900+ Results",$125Save up to 15% with Subscribe to Save,$125Save up to 15% with Subscribe to Save,$125Save up to 15% with Subscribe to Save,7-day delivery,7-day delivery,7-day delivery,-1,-1,-1,5.0,47,United States,N/A,N/A,N/A,"I speak English, Spanish",N/A,True
Digital Marketing,seo-services,level 2,"7,900+ Results",$5,$5,$5,5-day delivery,5-day delivery,5-day delivery,-1,-1,-1,4.9,624,Pakistan,N/A,N/A,N/A,"I speak Urdu, Hindi, English",N/A,True
Digital Marketing,seo-services,level 2,"7,900+ Results",$10,$10,$10,7-day delivery,7-day delivery,7-day delivery,-1,-1,-1,5.0,16,Pakistan,N/A,N/A,N/A,"I speak English, Urdu, Arabic, German",N/A,True
Digital Marketing,seo-services,level 2,"7,900+ Results",$50Save up to 10% with Subscribe to Save,$50Save up to 10% with Subscribe to Save,$50Save up to 10% with Subscribe to Save,5-day delivery,5-day delivery,5-day delivery,-1,-1,-1,5.0,142,India,N/A,N/A,N/A,"English, German, Italian",N/A,True
Digital Marketing,seo-services,level 2,"7,900+ Results",$20,$20,$20,3-day delivery,3-day delivery,3-day delivery,-1,-1,-1,4.9,108,Pakistan,N/A,N/A,N/A,I speak English,N/A,True
