Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Music & Audio,mixing-mastering,level 1,"1,200+ Results",$45,$75,$100,3 days,4 days,5 days,3,3,3,5.0,17,Argentina,Aug 2019,1 hour,1 week,"English, Spanish",N/A,False
Music & Audio,mixing-mastering,level 1,"1,200+ Results",$45,$65,$95,4 days,7 days,10 days,2,3,5,4.8,3,Argentina,Feb 2020,1 hour,2 weeks,"English, Spanish",N/A,False
Music & Audio,mixing-mastering,level 1,"1,200+ Results",$60,$110,$180,3 days,5 days,7 days,2,2,3,5.0,124,Germany,Jul 2020,2 hours,about 10 hours,"English, German",1 order in queue,False
Music & Audio,mixing-mastering,level 1,"1,200+ Results",$150,$200,$250,5 days,6 days,7 days,2,3,3,5.0,16,Poland,Jun 2021,1 hour,1 month,"English, Polish, German",N/A,False
Music & Audio,mixing-mastering,level 1,"1,200+ Results",$75,$135,$200,2 days,3 days,3 days,2,3,3,5.0,150,United States,Aug 2020,1 hour,4 weeks,"English, Japanese",N/A,False
Music & Audio,mixing-mastering,level 1,"1,200+ Results",€9.67,€9.67,€9.67,5-day delivery,5-day delivery,5-day delivery,Unlimited Revisions,Unlimited Revisions,Unlimited Revisions,4.9,46,Netherlands,Oct 2022,2 hours,1 day,"English, Dutch",2 orders in queue,True
Music & Audio,mixing-mastering,level 1,"1,200+ Results",$10,$50,$100,1 day,3 days,4 days,1,2,4,4.9,52,Germany,Jul 2020,1 hour,2 days,"English, German",N/A,False
Music & Audio,mixing-mastering,level 1,"1,200+ Results",$10,$15,$20,1 day,7 days,7 days,3,5,9,5.0,54,Indonesia,Oct 2021,3 hours,4 days,"English, Indonesian, Japanese",2 orders in queue,False
Music & Audio,mixing-mastering,level 1,"1,200+ Results",$175,$300,$475,2 days,3 days,4 days,3,5,Unlimited,5.0,23,United Kingdom,Nov 2020,4 hours,1 month,English,N/A,False
Music & Audio,mixing-mastering,level 1,"1,200+ Results",$25,$35,$50,3 days,3 days,4 days,3,5,5,4.9,64,Germany,Oct 2018,1 hour,1 day,"English, French, German",N/A,False
Music & Audio,mixing-mastering,level 1,"1,200+ Results",$60,$110,$180,3 days,5 days,7 days,2,2,3,5.0,124,Germany,Jul 2020,2 hours,about 10 hours,"English, German",1 order in queue,False
Music & Audio,mixing-mastering,level 1,"1,200+ Results",$20,$25,$30,1 day,1 day,1 day,1,2,3,5.0,34,United States,Sep 2021,2 hours,about 1 hour,English,1 order in queue,False
